x,y
0,0
0,1
0,0
31.571811305083112841884940280579030513763427734375,0
273.14463858501432014236343093216419219970703125,1
273.14463858501432014236343093216419219970703125,0
827.48820452643957423788378946483135223388671875,0
1417.03070024013737793211475946009159088134765625,1
1417.03070024013737793211475946009159088134765625,0
1470.159232858420153888800996355712413787841796875,0
1575.35275982597067923052236437797546386718750000,0
1575.35275982597067923052236437797546386718750000,0
1634.46335408058990878998883999884128570556640625,0
2899.555222285138569304763223044574260711669921875,0
2899.555222285138569304763223044574260711669921875,0
2950.2296937708193951266366639174520969390869140625,0
3066.498561720886215198333957232534885406494140625,1
3066.498561720886215198333957232534885406494140625,0
3076.812327800186114501457268488593399524688720703125,0
3660.305321275628472221796982921659946441650390625,1
3660.305321275628472221796982921659946441650390625,0
3683.329690344371339705276113818399608135223388671875,0
3829.086190543298556576701230369508266448974609375,1
3829.086190543298556576701230369508266448974609375,0
3858.1038988075281537248883978463709354400634765625,1
4111.403665516870404417204554192721843719482421875,1
4111.403665516870404417204554192721843719482421875,0
4319.472898578884297648983192630112171173095703125,0
4743.4414427154676019426915445365011692047119140625,1
4743.4414427154676019426915445365011692047119140625,0
4775.0647624638119879136866074986755847930908203125,0
4786.7588225343981491732847644016146659851074218750,1
4786.7588225343981491732847644016146659851074218750,0
4867.3685908819441294781427131965756416320800781250,0
4930.7176861121029389778414042666554450988769531250,1
4930.7176861121029389778414042666554450988769531250,0
4951.164649217996679197995035792700946331024169921875,0
5226.2876230199888425431709038093686103820800781250,1
5226.2876230199888425431709038093686103820800781250,0
5311.2782756293212429454797529615461826324462890625,0
5592.7300782722381029543612385168671607971191406250,0
5592.7300782722381029543612385168671607971191406250,0
5856.5054600920808809405571082606911659240722656250,1
6029.0220753726400459981960011646151542663574218750,1
6029.0220753726400459981960011646151542663574218750,0
6171.3903161578915899099229136481881141662597656250,0
6436.5084858470886217673978535458445549011230468750,0
6436.5084858470886217673978535458445549011230468750,0
6469.84770538829928199220375972799956798553466796875,0
6536.2928529590923574232874670997262001037597656250,1
6536.2928529590923574232874670997262001037597656250,0
6619.9969541675753816889482550323009490966796875000,0
6968.6894134844269785844517173245549201965332031250,1
6968.6894134844269785844517173245549201965332031250,0
6969.28804918645652521913547161602764390408992767333984375,0
7616.3529457861031062293477589264512062072753906250,1
7616.3529457861031062293477589264512062072753906250,0
7722.0214789718041856758645735681056976318359375000,0
8037.6202885725641920089401537552475929260253906250,1
8037.6202885725641920089401537552475929260253906250,0
8063.699454809848159442253745510242879390716552734375,1
8112.820727044477177258841038565151393413543701171875,2
8322.2226142811612987770786276087164878845214843750,2
8322.2226142811612987770786276087164878845214843750,1
8542.2626845272521336482896003872156143188476562500,1
8542.2626845272521336482896003872156143188476562500,0
8635.9046483527402955360230407677590847015380859375,0
9492.508925234610511978416980127803981304168701171875,1
9492.508925234610511978416980127803981304168701171875,0
9554.431808537739637898766886792145669460296630859375,0
9690.522144787638705309973374824039638042449951171875,1
9690.522144787638705309973374824039638042449951171875,0
9810.482149017759095244173295213840901851654052734375,0
12070.012813804450967580805809120647609233856201171875,1
12070.012813804450967580805809120647609233856201171875,0
12345.222659895192190759871664340607821941375732421875,0
12597.356189694789247113249075482599437236785888671875,1
12597.356189694789247113249075482599437236785888671875,0
12735.780259660256358955621180939488112926483154296875,0
14734.190060288298138146956262062303721904754638671875,0
14734.190060288298138146956262062303721904754638671875,0
14827.286245252231747571158848586492240428924560546875,1
15118.970989869401659433378881658427417278289794921875,1
15118.970989869401659433378881658427417278289794921875,0
15278.300761072239918547666093218140304088592529296875,0
15330.000329368902537652274986612610518932342529296875,1
15330.000329368902537652274986612610518932342529296875,0
15350.364088486088821383646063623018562793731689453125,1
15715.791346809606221057720176759175956249237060546875,1
15715.791346809606221057720176759175956249237060546875,0
16031.945359411885686284904295462183654308319091796875,0
18684.455267489805482483689047512598335742950439453125,1
18684.455267489805482483689047512598335742950439453125,0
18879.266262786250809568855402176268398761749267578125,0
18967.574966316780734842950550955720245838165283203125,1
18967.574966316780734842950550955720245838165283203125,0
19008.198245958088623552839635522104799747467041015625,0
20860.711409867834806419750748318620026111602783203125,1
20860.711409867834806419750748318620026111602783203125,0
20966.850820504539189670367704820819199085235595703125,0
21987.441450919283358444999976200051605701446533203125,1
21987.441450919283358444999976200051605701446533203125,0
22086.755029405183552881908326526172459125518798828125,0
