x,y
98.7181452047890815038044820539653301239013671875,0E-32
1361.1968487279734159045574415358714759349822998046875,0.0005673916372941108376233678879944588842111468949743387687097614
1607.23592635041796938821789808571338653564453125,0.0661585768545209994961004315210077882926399402874769369494363976
1811.27709051435176235145263490267097949981689453125,0.0899622025876605360132957300308007416488259623829845976514560688
5986.493362376319822715231566689908504486083984375,0.0001959576565893652131454573990504456631833819956156617081433069
7133.207767862925692270437139086425304412841796875,-0.0137978736400410511736902824658795543368166180043843382918566931
9165.31685308029491210390915512107312679290771484375,-0.0140839213247199817023650581070543646884739990873924853076459840
9879.27087836477687687875004485249519348144531250,-0.0186678022724959037695857151155443646884739990873924853076459840
11192.4128879621475309846800882951356470584869384765625,-0.0128875540202785629875759521812325590808895221169589401850114680
12198.382404093228757346878410317003726959228515625,-0.0172504337235841827062119291918925590808895221169589401850114680
13016.6157986949234697249266901053488254547119140625,-0.0120248469433515439657444174519301920945349603022664485338498794
13808.8954028672717537773451113025657832622528076171875,-0.0072896841929731811832425761748232163052076106872275336930518582
17637.180983342351709097783896140754222869873046875,-0.0125828627870855587615722205908354494754350116438956774800317362
19984.8779570538248293587457737885415554046630859375,-0.0134772672437500307595174152320590519444180974483771251470898278
23891.56105700154477400332098113722167909145355224609375,-0.0201086214484168869181593511677090519444180974483771251470898278
28014.19286400630153366364538669586181640625000000,-0.0187367469063407104304852382268715317952131265643000653764113050
28017.83766872969436700913092863629572093486785888671875,-0.0223515541127925288938899227351565369001851102855995792298118532
28940.21442555746595015619959667674265801906585693359375,-0.0205767148897258957416163127874816430799713869712355482568874812
31367.10603145397931879045927416882477700710296630859375,-0.0240820824605574480589087669767369049401109006353106592325188796
33055.05682882376540643321050083613954484462738037109375,-0.0224925594939798145045016096268229907891863756949312068576950373
34243.32994548414371305256054256460629403591156005859375,-0.0206373408803670114225705071068328852565481988497501456928754730
35549.93987009477792238243409883580170571804046630859375,-0.0203253917977661047546924452663130279499711316773060861676497677
38505.89639586292435691206037517986260354518890380859375,-0.0192254034722087526124443898954947706833652683305125997827013230
38529.71580360819471078315245904377661645412445068359375,-0.0216041308254274152184377210951870074014632762554692378711351602
40107.04893938921745810688435085467062890529632568359375,-0.0213399924772297066134446355018973695074551859303468859252461698
41328.59997430187880862462179720751009881496429443359375,-0.0199461904557524715268014589893883485943635892717707751188076116
41420.66894924040591074998474141466431319713592529296875,-0.0164024767676834817776819045200440397234185951268051784416346698
42377.09377146438638472858428940526209771633148193359375,-0.0146549315116755016644979297324650554495595111408221512555019876
43028.46982783339394185162518624565564095973968505859375,-0.0156265880137263226286893328710950554495595111408221512555019876
44603.01774325500249496201377041870728135108947753906250,-0.0145949688717717722044860277779462171162810532629854836588694727
44847.93617929723779091943924868246540427207946777343750,-0.0119309330255278487504435498211875140208133911033883123309351504
48166.71417839846075192866692304960452020168304443359375,-0.0144978557081865181696856182075053366105551066697114784358582722
51359.54279928290727408324300995445810258388519287109375,-0.0160477311663753938786293278998346704768530716907653860053633926
52997.86842259454255721351501051685772836208343505859375,-0.0174078265158631513613330408042744747776136693446636356730734752
53340.65371429716851192637250278494320809841156005859375,-0.0178350441452310621443739724503244747776136693446636356730734752
57196.60047384144140547590495771146379411220550537109375,-0.0195617649681562846819949956589550667739216378673902376061144831
57991.86345974005091985503668183810077607631683349609375,-0.0182459987126394653182927685840090105684991263937730663100309256
59919.57648254776876850513644967577420175075531005859375,-0.0202792092520229832707588531582990105684991263937730663100309256
60265.12885662577782053261898909113369882106781005859375,-0.0186407849973555592544350622363794228939476599017846256761150735
62446.80859445841467003646130251581780612468719482421875,-0.0184382150476513884108069063990089389758727101864336598661490522
63220.76891151677299429678669184795580804347991943359375,-0.0174397390239818642617779864309010894376697080196814025876305132
63597.8055816834548277238781111009302549064159393310546875,-0.0154532242721724336645054364570020777562597756853099156717457934
65772.721382559424160962890937298652715981006622314453125,-0.0153044991589584037670068978476425057898557637148219070933832665
69052.84773395671893236880123367882333695888519287109375,-0.0181800922200941026618397860871825057898557637148219070933832665
69362.46881834063737581885789040825329720973968505859375,-0.0184374804302994253008267936014825057898557637148219070933832665
71688.30123264667168481167891513905487954616546630859375,-0.0183405393595112934703828153520925453389950117219949395537999711
72168.95243392963129824835277759120799601078033447265625,-0.0167430012395790973718716061992927944164127350009903712665012184
73627.68017042758552914705205694190226495265960693359375,-0.0165830482173293194824615388253686502452181532523095466614362075
73998.99725222567631188752557136467657983303070068359375,-0.0155492049704902303004024679322706868877164625516121738682990808
74066.92086119230056251439009429304860532283782958984375,-0.0138133012015854433784730364527542843203299445103400996022931698
76705.366093353371156116082829612423665821552276611328125,-0.0140719116213421993990329613065037109014002392857488186057789272
