time,event,queueSize,systemSize,meanQueueSize,meanSystemSize,meanWaitingTime,meanCallingTime,meanSystemTime,LittlesLaw
0,arrive,0,0,0,0,0,0,0,0E-10
0,begin,1,1,0,0,0,0,0,0E-10
156.96154999954052300381590612232685089111328125,finish,0,1,0E-10,1.0000000000,0E-10,0,156.9615499995,0.10464103856505166665
1571.780535491967157213366590440273284912109375,arrive,0,0,0E-10,0.0998622559,0E-10,156.9615499995,156.9615499995,0.10464103856505166665
1571.780535491967157213366590440273284912109375,begin,1,1,0E-10,0.0998622559,0E-10,156.9615499995,156.9615499995,0.10464103856505166665
1751.899810279715353544816025532782077789306640625,finish,0,1,0E-10,0.1924087341,0E-10,156.9615499995,168.5404123936,0.11236028054708041312
2101.6793275926000887920963577926158905029296875,arrive,0,0,0E-10,0.1603864207,0E-10,168.5404123936,168.5404123936,0.11236028054708041312
2101.6793275926000887920963577926158905029296875,begin,1,1,0E-10,0.1603864207,0E-10,168.5404123936,168.5404123936,0.11236028054708041312
2181.7642794899518463580534444190561771392822265625,finish,0,1,0E-10,0.1912057048,0E-10,168.5404123936,139.0552588949,0.09270351056510862983
5753.7472048538378430748707614839076995849609375,arrive,0,0,0E-10,0.0725033203,0E-10,139.0552588949,139.0552588949,0.09270351056510862983
5753.7472048538378430748707614839076995849609375,begin,1,1,0E-10,0.0725033203,0E-10,139.0552588949,139.0552588949,0.09270351056510862983
5787.60664715397836488364191609434783458709716796875,finish,0,1,0E-10,0.0779294873,0E-10,139.0552588949,112.7563047462,0.07517087358934349154
6526.6631874708458553868695162236690521240234375,arrive,0,0,0E-10,0.0691050244,0E-10,112.7563047462,112.7563047462,0.07517087358934349154
6526.6631874708458553868695162236690521240234375,begin,1,1,0E-10,0.0691050244,0E-10,112.7563047462,112.7563047462,0.07517087358934349154
6586.54034398972341790567952557466924190521240234375,finish,0,1,0E-10,0.0775676378,0E-10,112.7563047462,102.1804751007,0.06812032013981583669
9489.6745721765468033481738530099391937255859375,arrive,0,0,0E-10,0.0538377129,0E-10,102.1804751007,102.1804751007,0.06812032013981583669
9489.6745721765468033481738530099391937255859375,begin,1,1,0E-10,0.0538377129,0E-10,102.1804751007,102.1804751007,0.06812032013981583669
9891.1364917465880353120155632495880126953125000,finish,0,1,0E-10,0.0922405930,0E-10,102.1804751007,152.0607158456,0.10137381563242386152
10215.0065156019413734611589461565017700195312500,arrive,0,0,0E-10,0.0893160757,0E-10,152.0607158456,152.0607158456,0.10137381563242386152
10215.0065156019413734611589461565017700195312500,begin,1,1,0E-10,0.0893160757,0E-10,152.0607158456,152.0607158456,0.10137381563242386152
10250.72372703515096503679160377942025661468505859375,finish,0,1,0E-10,0.0924892263,0E-10,152.0607158456,135.4402152153,0.09029348132487384051
12189.9293348396893179597100242972373962402343750,arrive,0,0,0E-10,0.0777758000,0E-10,135.4402152153,135.4402152153,0.09029348132487384051
12189.9293348396893179597100242972373962402343750,begin,1,1,0E-10,0.0777758000,0E-10,135.4402152153,135.4402152153,0.09029348132487384051
12276.971426009240389021215378306806087493896484375,finish,0,1,0E-10,0.0843142467,0E-10,135.4402152153,129.3904497096,0.08626030411941499032
14002.8197599962657022842904552817344665527343750,arrive,0,0,0E-10,0.0739225110,0E-10,129.3904497096,129.3904497096,0.08626030411941499032
14002.8197599962657022842904552817344665527343750,begin,1,1,0E-10,0.0739225110,0E-10,129.3904497096,129.3904497096,0.08626030411941499032
14035.572577076504359183672931976616382598876953125,finish,0,1,0E-10,0.0760835662,0E-10,129.3904497096,118.6529349730,0.07910196060376449910
14523.9748060909985269972821697592735290527343750,arrive,0,0,0E-10,0.0735250804,0E-10,118.6529349730,118.6529349730,0.07910196060376449910
14523.9748060909985269972821697592735290527343750,begin,1,1,0E-10,0.0735250804,0E-10,118.6529349730,118.6529349730,0.07910196060376449910
14559.036862202329388082944205962121486663818359375,finish,0,1,0E-10,0.0757562798,0E-10,118.6529349730,110.2938470868,0.07352923506766156956
14859.23155821685799082843004725873470306396484375,arrive,0,0,0E-10,0.0742258081,0E-10,110.2938470868,110.2938470868,0.07352923506766156956
14859.23155821685799082843004725873470306396484375,begin,1,1,0E-10,0.0742258081,0E-10,110.2938470868,110.2938470868,0.07352923506766156956
14877.54276621952212877886267961002886295318603515625,finish,0,1,0E-10,0.0753652466,0E-10,110.2938470868,101.9317889882,0.06795452938985963294
15973.16599705672132358813541941344738006591796875,arrive,0,0,0E-10,0.0701958321,0E-10,101.9317889882,101.9317889882,0.06795452938985963294
15973.16599705672132358813541941344738006591796875,begin,1,1,0E-10,0.0701958321,0E-10,101.9317889882,101.9317889882,0.06795452938985963294
16032.4668734316156104569017770700156688690185546875,finish,0,1,0E-10,0.0736349911,0E-10,101.9317889882,98.3792129371,0.06558614523737376457
16504.98880117568518244297592900693416595458984375,arrive,0,0,0E-10,0.0715268922,0E-10,98.3792129371,98.3792129371,0.06558614523737376457
16504.98880117568518244297592900693416595458984375,begin,1,1,0E-10,0.0715268922,0E-10,98.3792129371,98.3792129371,0.06558614523737376457
16511.6683762665882913012183053069747984409332275390625,finish,0,1,0E-10,0.0719024936,0E-10,98.3792129371,91.3253946413,0.06088359947171315471
16952.33425647615024445258313789963722229003906250,arrive,0,0,0E-10,0.0700334309,0E-10,91.3253946413,91.3253946413,0.06088359947171315471
16952.33425647615024445258313789963722229003906250,begin,1,1,0E-10,0.0700334309,0E-10,91.3253946413,91.3253946413,0.06088359947171315471
16975.07248611824445561069296672940254211425781250,finish,0,1,0E-10,0.0712791277,0E-10,91.3253946413,86.4263114270,0.05761754383221038090
18887.16728367008033728779992088675498962402343750,arrive,0,0,0E-10,0.0640629874,0E-10,86.4263114270,86.4263114270,0.05761754383221038090
18887.16728367008033728779992088675498962402343750,begin,1,1,0E-10,0.0640629874,0E-10,86.4263114270,86.4263114270,0.05761754383221038090
18966.483905271691611460482818074524402618408203125,finish,0,1,0E-10,0.0679770161,0E-10,86.4263114270,85.9523321053,0.05730155760194440351
19505.02492260102758336870465427637100219726562500,arrive,0,0,0E-10,0.0661001453,0E-10,85.9523321053,85.9523321053,0.05730155760194440351
19505.02492260102758336870465427637100219726562500,begin,1,1,0E-10,0.0661001453,0E-10,85.9523321053,85.9523321053,0.05730155760194440351
19564.4107934459469930743580334819853305816650390625,finish,0,1,0E-10,0.0689349077,0E-10,85.9523321053,84.2919282766,0.05619462166079760922
21688.30401316471829886722844094038009643554687500,arrive,0,0,0E-10,0.0621842469,0E-10,84.2919282766,84.2919282766,0.05619462166079760922
21688.30401316471829886722844094038009643554687500,begin,1,1,0E-10,0.0621842469,0E-10,84.2919282766,84.2919282766,0.05619462166079760922
21710.9807277891635095556921442039310932159423828125,finish,0,1,0E-10,0.0631637780,0E-10,84.2919282766,80.6675039441,0.05377833865165013147
24824.48934558972064223780762404203414916992187500,arrive,0,0,0E-10,0.0552417231,0E-10,80.6675039441,80.6675039441,0.05377833865165013147
24824.48934558972064223780762404203414916992187500,begin,1,1,0E-10,0.0552417231,0E-10,80.6675039441,80.6675039441,0.05377833865165013147
25324.62382685675788707158062607049942016601562500,finish,0,1,0E-10,0.0738996978,0E-10,80.6675039441,103.9712249065,0.06931415340337416355
25566.07189056101606183801777660846710205078125000,arrive,0,0,0E-10,0.0732017831,0E-10,103.9712249065,103.9712249065,0.06931415340337416355
