time,size,room
35640.072732408571514639561428339220583438873291015625,0,0
35999.342631191506512777777970768511295318603515625,1,1
35999.342631191506512777777970768511295318603515625,0,1
36002.213957435316476374254079928505234420299530029296875,0,0
36410.539253772418277321776258759200572967529296875,1,1
36410.539253772418277321776258759200572967529296875,0,1
36415.89443495297158026602346581057645380496978759765625,0,0
37279.371591836176861534113413654267787933349609375,1,1
37279.371591836176861534113413654267787933349609375,0,1
37296.03783343394423610561716486699879169464111328125,0,0
38487.871734527959318938883370719850063323974609375,1,1
38487.871734527959318938883370719850063323974609375,0,1
38503.6425689847290474432384144165553152561187744140625,0,0
38910.262268917974580517693539150059223175048828125,1,1
38910.262268917974580517693539150059223175048828125,0,1
38919.4948230580441919101986059104092419147491455078125,0,0
40477.164317431821729087459971196949481964111328125,1,1
40477.164317431821729087459971196949481964111328125,0,1
40485.4992123683948630485929243150167167186737060546875,0,0
46631.739054632020526014457573182880878448486328125,1,1
46631.739054632020526014457573182880878448486328125,0,1
46633.125382711802685786750544139067642390727996826171875,0,0
47177.266640113176123350058333016932010650634765625,1,1
47177.266640113176123350058333016932010650634765625,0,1
47310.391867860689700364673626609146595001220703125,0,0
47645.499970494079747140858671627938747406005859375,1,1
47645.499970494079747140858671627938747406005859375,0,1
47749.2543247963270829359316849149763584136962890625,0,0
48002.556259835990061901611625216901302337646484375,1,1
48002.556259835990061901611625216901302337646484375,0,1
48058.7434125415738179754043812863528728485107421875,0,0
49163.499965084819535832139081321656703948974609375,1,1
49163.499965084819535832139081321656703948974609375,0,1
49226.5629182115074371495211380533874034881591796875,0,0
50238.188000588524204204077250324189662933349609375,1,1
50238.188000588524204204077250324189662933349609375,0,1
50468.989130628313262150186346843838691711425781250,0,0
51403.764454221548788837026222608983516693115234375,1,1
51403.764454221548788837026222608983516693115234375,0,1
51406.585117502793583543763134002801962196826934814453125,0,0
52412.658614212196511061847559176385402679443359375,1,1
52412.658614212196511061847559176385402679443359375,0,1
52502.167201168663211774401133880019187927246093750,0,0
52505.681703483153199840671732090413570404052734375,1,1
52505.681703483153199840671732090413570404052734375,0,1
52572.0531699835373871110277832485735416412353515625,1,2
