id,resident,time
1,false,0
2,false,1571.780535491967157213366590440273284912109375
3,false,2101.6793275926000887920963577926158905029296875
4,true,5753.7472048538378430748707614839076995849609375
5,false,6526.6631874708458553868695162236690521240234375
6,false,9489.6745721765468033481738530099391937255859375
7,false,10215.0065156019413734611589461565017700195312500
8,false,12189.9293348396893179597100242972373962402343750
9,false,14002.8197599962657022842904552817344665527343750
10,false,14523.9748060909985269972821697592735290527343750
11,false,14859.23155821685799082843004725873470306396484375
12,false,15973.16599705672132358813541941344738006591796875
13,false,16504.98880117568518244297592900693416595458984375
14,false,16952.33425647615024445258313789963722229003906250
15,false,18887.16728367008033728779992088675498962402343750
16,false,19505.02492260102758336870465427637100219726562500
17,false,21688.30401316471829886722844094038009643554687500
18,false,24824.48934558972064223780762404203414916992187500
19,false,25566.07189056101606183801777660846710205078125000
20,false,27560.05909467815490643261000514030456542968750000
21,false,27845.58721678316959469157154671847820281982421875
22,false,28029.69625869962533215584699064493179321289062500
23,false,28973.32297306289933658263180404901504516601562500
24,true,29082.367660293945647254076902754604816436767578125
25,false,29736.179304160090651976133813150227069854736328125
26,false,30543.243090856197937910110340453684329986572265625
27,false,32914.147135013220719201854080893099308013916015625
28,false,34634.038684295579429317513131536543369293212890625
29,false,35616.038691155555085288142436183989048004150390625
30,false,35999.342631191506512777777970768511295318603515625
31,false,36410.539253772418277321776258759200572967529296875
32,false,37279.371591836176861534113413654267787933349609375
33,false,38487.871734527959318938883370719850063323974609375
34,true,38910.262268917974580517693539150059223175048828125
35,false,40477.164317431821729087459971196949481964111328125
36,false,46631.739054632020526014457573182880878448486328125
37,false,47177.266640113176123350058333016932010650634765625
38,false,47645.499970494079747140858671627938747406005859375
39,false,48002.556259835990061901611625216901302337646484375
40,false,49163.499965084819535832139081321656703948974609375
41,false,50238.188000588524204204077250324189662933349609375
42,false,51403.764454221548788837026222608983516693115234375
43,false,52412.658614212196511061847559176385402679443359375
44,false,52505.681703483153199840671732090413570404052734375
45,false,52579.3710009312607525089333648793399333953857421875
46,false,54414.6216782236160867114449501968920230865478515625
47,false,54596.1257896846108366162297897972166538238525390625
48,false,56738.9379913134982729161492898128926753997802734375
49,false,56837.5180017473162905616845819167792797088623046875
50,false,57548.17469726696404119792305209557525813579559326171875
51,false,60474.31883639160028121040113546769134700298309326171875
52,false,62802.28153749694288432436906077782623469829559326171875
53,false,63690.93553288417561031309332975069992244243621826171875
54,false,63987.60222222526132451747571394662372767925262451171875
55,false,64376.17950674563243307346738220076076686382293701171875
56,false,68094.51619881278073886932133973459713160991668701171875
57,false,68342.56632629352597074756658912519924342632293701171875
58,false,68667.43525440077948029937715546111576259136199951171875
59,false,68942.30692085290891224502729528467170894145965576171875
60,true,69452.21433139374570497892591447453014552593231201171875
61,false,70270.22058604794593872355790153960697352886199951171875
62,false,70855.09294015019562618107329399208538234233856201171875
63,false,72104.41053224710602886915467024664394557476043701171875
64,true,72708.90479957311978420619880125741474330425262451171875
65,false,75613.50505812205752942389835880021564662456512451171875
66,false,76554.35170250139330061500686497311107814311981201171875
67,false,76641.90047698272568776900470766122452914714813232421875
68,false,78019.52499897455599420226235451991669833660125732421875
69,true,78810.98214589198793600388626146013848483562469482421875
70,false,82504.77769942222236476681018757517449557781219482421875
71,false,83023.09269669970721405860558661515824496746063232421875
72,false,84626.13109958517319864057526501710526645183563232421875
73,false,88552.41993123414890032307766887242905795574188232421875
74,false,90404.42213658007703269703370096976868808269500732421875
75,false,92539.27812124326309639599230649764649569988250732421875
76,false,93904.43109983192475009872168811853043735027313232421875
77,false,94730.77436766594727668433506551082246005535125732421875
78,false,96542.45997984883028220082223924691788852214813232421875
79,false,97597.16652527964246655045599254663102328777313232421875
80,false,98704.56940714634860523091219874913804233074188232421875
81,false,101977.12934994026322055304945024545304477214813232421875
82,false,104710.22793479151963946804926308686845004558563232421875
83,false,105955.64877926665034646447338673169724643230438232421875
84,false,106236.50210422808320753773614342208020389080047607421875
85,false,107297.91691153688825988155031154747121036052703857421875
86,false,107922.36943876746054638005034576053731143474578857421875
87,false,109494.28912515356101220476148228044621646404266357421875
88,false,110274.28259286922876025727191517944447696208953857421875
89,false,114429.26194463155352831762456844444386661052703857421875
90,false,114578.19038445743829424117166126961819827556610107421875
91,false,114782.67770768741818709912649865145795047283172607421875
92,false,115990.06772294950904278465486640925519168376922607421875
93,false,118166.22366444723545964023969645495526492595672607421875
94,false,121670.10703791011426755375168795580975711345672607421875
95,true,125006.45131099764874260671376760001294314861297607421875
96,false,127078.29578585988290750918849880690686404705047607421875
97,false,129000.63027915233963494046065534348599612712860107421875
98,true,129109.74904365403259998146268117125146090984344482421875
99,false,130264.92615446649726163030891257221810519695281982421875
100,false,132421.90434807779494530421970921452157199382781982421875
101,false,133687.46164447078892134612715381081216037273406982421875
102,false,138880.33012336601397418434089559013955295085906982421875
103,false,139615.94347539994184170808466660673730075359344482421875
104,false,144437.88142451835816881811069833929650485515594482421875
105,false,145015.47183581726521151011866095359437167644500732421875
106,false,145668.59372104771788780652741479570977389812469482421875
107,false,147066.46839759898822830308517950470559298992156982421875
108,true,150370.62361389571871495007826524670235812664031982421875
109,false,151333.25100817928220475749867546255700290203094482421875
110,false,151992.49966332142814007255537944729439914226531982421875
111,true,152144.49813068961087036967683161492459475994110107421875
112,false,154502.44659057465411944320976544986478984355926513671875
113,false,155184.32551448262301629910098199616186320781707763671875
114,false,156999.68349276488606403034964387188665568828582763671875
115,false,159348.19120385632504177664259259472601115703582763671875
116,false,166398.00280691936677168740743582020513713359832763671875
117,true,166583.90167176029521112212705702404491603374481201171875
118,false,167530.00331399888815564480637476663105189800262451171875
119,false,169974.94264178521094788010259435395710170269012451171875
120,false,175367.82537373803185243303914830903522670269012451171875
121,false,176224.96913326402246990909361556987278163433074951171875
122,false,177115.00200677732433529598665700177662074565887451171875
123,false,178249.32393890412296411085435465793125331401824951171875
124,false,180280.65066090575143231689025924424640834331512451171875
125,false,181576.02327495732830708874416814069263637065887451171875
126,false,183745.20428704898037164383595154504291713237762451171875
127,false,184737.51788663088708641879520655493251979351043701171875
128,false,185154.54227440988406794275533684412948787212371826171875
129,true,185571.22738587032247448149746560375206172466278076171875
130,false,188029.31039597940573582235401772777549922466278076171875
131,false,189858.91312303004181227805702292243950068950653076171875
132,false,190098.04308167815531316335864175925962626934051513671875
133,false,193417.85611402273604664259210039745084941387176513671875
134,false,193831.53548304197669960302619074354879558086395263671875
135,false,194375.62593988996581639838723276625387370586395263671875
136,true,194652.61714772606478174310495887766592204570770263671875
137,false,195911.33250782172344894860316344420425593852996826171875
138,false,202388.94416898201998389339451023261062800884246826171875
139,false,202922.64841961831430250384755709092132747173309326171875
140,false,202997.59941909308599417016694133053533732891082763671875
141,false,205777.89406098475410100689941828022710978984832763671875
142,false,206849.52834366610840799438619797001592814922332763671875
143,false,207352.28170089201824577429533746908418834209442138671875
144,true,207461.00465425436064048625439681927673518657684326171875
145,false,208516.40198347421093938436342796194367110729217529296875
146,false,209130.96208208112293203129183893906883895397186279296875
147,true,210294.27945329568624099891849255072884261608123779296875
148,false,211713.55423254232445895439695959794335067272186279296875
149,false,211919.01228214905700308889890948194079101085662841796875
150,false,212183.77920106036833924889606350916437804698944091796875
151,true,215190.82632325403381212680642420309595763683319091796875
152,false,216055.21510377512948064548936599749140441417694091796875
153,false,217080.16339602428604660389055425184778869152069091796875
154,false,218981.82649401310993919622660541790537536144256591796875
155,false,221001.33803480187123380318325871485285460948944091796875
156,false,221699.25331622151623189864722007769159972667694091796875
157,false,223232.96504240223055415270891899126581847667694091796875
158,false,224975.09150742546683243716643119114451110363006591796875
159,false,225674.93871899614737497330452242749743163585662841796875
160,false,225913.95715509031774370640732740866951644420623779296875
161,false,228710.40590827258197048621468638884834945201873779296875
162,false,229155.96228803102704585370474887895397841930389404296875
163,false,230943.62732911654316847460677308845333755016326904296875
164,false,231426.83730054664696051958117095637135207653045654296875
165,false,231535.76629254207206809468289065989665687084197998046875
166,false,232085.71425647703280770173250857624225318431854248046875
167,false,232666.97678196898586389096408311161212623119354248046875
168,false,233631.29927991305830214940897349151782691478729248046875
169,false,236357.48998993910881250002375963958911597728729248046875
170,false,237370.74141355108862949663262043031863868236541748046875
171,false,238806.56043794022743309568568292888812720775604248046875
172,false,240201.17175799615042119938834730419330298900604248046875
173,false,246615.61244222145241433707951728138141334056854248046875
174,false,248306.81426261113792275381229046615771949291229248046875
175,false,249940.31499629654298910708121184143237769603729248046875
176,false,252230.63984433993836642429187122615985572338104248046875
177,false,254122.70118587131482268404170099529437720775604248046875
178,false,257327.66743771440578125719866875442676246166229248046875
179,false,257487.31737830792669097235148001345805823802947998046875
180,false,258304.15925750820760509185447517666034400463104248046875
181,false,259495.80677667612657710805024180444888770580291748046875
182,false,259793.10198708215519314279617901775054633617401123046875
183,false,259919.56004012400383640368772830697707831859588623046875
184,true,261611.51478934265625309052438751677982509136199951171875
185,false,261797.92114634264577954780861546169035136699676513671875
186,false,262908.40636408862996553637003671610727906227111816406250
187,false,263077.63736842051172892809063341701403260231018066406250
188,false,264032.74562946626576298569943901384249329566955566406250
189,false,265634.44237764046385485983137186849489808082580566406250
190,true,266824.90808720175334123325683322036638855934143066406250
191,false,268289.74439900355138810539301630342379212379455566406250
192,false,270377.98245853667060067948568757856264710426330566406250
193,false,270819.72735402748946320627965178573504090309143066406250
194,false,272205.62136582992490652088690694654360413551330566406250
195,false,274954.79059334277291704040635522687807679176330566406250
196,false,277498.76215138002327798005808290326967835426330566406250
197,true,277883.98556092271007322835885133827105164527893066406250
198,false,280879.63015911379658895441480126464739441871643066406250
199,false,281478.17525468994437609637770947301760315895080566406250
200,false,286414.91733638296147468338403996312990784645080566406250
201,false,289128.75660988607398316219132539117708802223205566406250
202,false,291180.49189014330851854595039185369387269020080566406250
203,false,291652.21743008926397955349330004537478089332580566406250
204,true,293320.42641139199019484351538267219439148902893066406250
205,false,295059.38014652830713124842532124603167176246643066406250
206,false,295220.49329189169162113159927685046568512916564941406250
207,false,295703.81150058990197670993893552804365754127502441406250
208,false,295855.24878862287286018784016050631180405616760253906250
209,false,297182.92691705342175545467853226000443100929260253906250
210,false,297685.95128313236957673382221400970593094825744628906250
211,false,298262.80021973979185112568757176632061600685119628906250
212,false,299955.72869654280227713627482444280758500099182128906250
213,false,302168.72425146936554973819966107839718461036682128906250
214,false,302496.64262423741561214285411551827564835548400878906250
215,false,302642.43325307817269198551457520807161927223205566406250
216,false,303847.76815566737806939556776342215016484260559082031250
217,false,303980.89119927184168723499624320538714528083801269531250
218,false,304276.89820962495838507777534687193110585212707519531250
219,false,304739.41768549226724083212047844426706433296203613281250
220,false,305081.12845417805464087734890199499204754829406738281250
221,false,305417.09777277388029581572936876909807324409484863281250
222,false,305507.71884053420552795898856857093051075935363769531250
223,false,305587.15704683531748919733672664733603596687316894531250
224,true,307314.01156373961323886589980247663334012031555175781250
225,false,308447.06975421414070304138022038387134671211242675781250
226,false,310277.34917537142799126570480439113453030586242675781250
227,false,311693.70926748374843562316982570337131619453430175781250
228,true,313518.93330975570445851019485417054966092109680175781250
229,false,318301.24634653637152048588632169412449002265930175781250
