Person,Timestamp,Queuelength
1,0.0,1
2,144.71922044835893,1
3,2399.6505379826917,1
4,2797.2729660654504,1
5,5279.7359504984515,1
6,8853.126024239096,1
7,8931.973218113897,1
8,9874.684643711651,1
9,10902.243298157824,1
10,14366.544122344454,1
11,15598.087359739893,1
12,15610.198840261708,1
13,16027.337896700912,1
14,16563.129907403243,1
15,16725.08697800944,1
16,17144.660876828297,1
17,17160.309860621892,1
18,18475.886983886827,1
19,20421.15941417478,1
20,20448.4857186785,1
21,21008.556870961515,1
22,21770.182250459216,1
23,22065.463933721152,1
24,23420.788060567866,1
25,23528.5624103481,1
26,25404.20962826406,1
27,25482.72577711389,1
28,25839.266397263993,1
29,26639.045917163683,1
30,26844.997230823665,1
31,27475.334969599822,1
32,27778.86138430442,1
33,28275.1453912561,1
34,28594.230788566674,1
35,29984.941091542143,1
36,30321.57359533073,1
37,30396.946656240692,1
38,30491.977035053813,1
39,34077.0822593983,1
40,34398.32444292188,1
41,34915.150553931235,1
42,35557.67994480112,1
43,36349.83867955887,1
44,36516.0501178788,1
45,37368.70934861142,1
46,38297.16794327603,1
47,38912.273586735115,1
48,39906.711750434915,1
49,41131.18204475915,1
50,41531.98988704523,1
51,43318.760681265114,1
52,44681.45152527887,1
53,46997.16835333531,1
54,47122.573773400334,1
55,48452.96907343756,1
56,49622.5655696433,1
57,50826.921141360486,1
58,53494.19586237803,1
59,55520.07664531137,1
60,61715.54824802481,1
61,62242.43365292607,1
62,63638.19750909611,1
63,63876.85645666736,1
64,63985.67028326284,1
65,64247.369048030596,1
66,64819.65288640903,1
67,66365.47357673086,1
68,67135.11054662376,1
69,69146.74699969708,1
70,72036.62823649215,1
71,72264.16582461316,1
72,72299.84921383037,1
73,73418.22984084145,1
74,74910.80790106251,1
75,76126.59843170321,1
76,76886.61790859877,1
77,77382.28138515141,1
78,77857.98462225817,1
79,78089.63921490741,1
80,78267.02697091353,1
81,78485.87139926727,1
82,79220.64996553092,1
83,80277.63473689597,1
84,80355.09022758175,1
85,82405.73325173043,1
86,82855.34056370819,1
87,85708.06967757673,1
88,86200.98035562181,1
89,86933.49152315583,1
90,87080.66486812044,1
91,87125.21809311748,1
92,87504.46271742575,1
93,88615.86122429048,1
94,89325.43603330136,1
95,90804.46857933083,1
96,91074.60754257937,1
97,91325.72497652152,1
98,92456.88093119078,1
99,93791.48514399151,1
100,95258.6447332325,1
101,96543.07318274831,1
102,97465.04094408541,1
103,101273.22500581921,1
