Person,Timestamp,Queuelength
1,152.20420907860833,0
2,243.67134334347324,0
3,479.4267352566237,0
4,2917.5190107782755,0
5,3078.0414405098413,0
6,5527.061241757438,0
7,5726.01971639947,0
8,6174.987440731531,0
9,6578.235029946368,0
10,7475.675385160203,0
11,8138.886864832274,0
12,9515.612520882856,0
13,12260.394351076597,0
14,12948.43400353352,0
15,14319.288059311077,0
16,15692.21536597427,0
17,19265.712733320226,0
18,19796.21223383153,0
19,21729.253597808223,0
20,29519.233586937677,0
21,29638.233205350974,0
22,31149.80370611769,0
23,32727.364284699008,0
24,35860.18875945034,0
25,36246.78475604555,0
26,37156.8867610539,0
27,37517.926437660055,0
28,38813.19907731704,0
29,40899.780953279434,0
30,41754.806129981196,0
31,42177.753485759444,0
32,42979.76838924927,0
33,43249.599887714845,0
34,43741.99380318108,0
35,43894.01501139142,0
36,44662.71681845023,0
37,45307.81439370173,0
38,45433.54798792719,0
39,45575.657706587976,0
40,47159.519248980694,0
41,48168.24338863911,0
42,51170.41218623623,1
43,51193.6008553987,0
44,52444.151639378564,0
45,60155.93933095499,0
46,62143.57854864571,0
47,62614.181468395385,0
48,63215.62540177729,0
49,63437.18980290736,0
50,64589.37252608776,0
51,65425.66449272779,0
52,68883.35525635628,0
53,71252.18845186179,0
54,71521.76219658235,0
55,71922.7042606022,0
56,73676.25692430497,0
57,80963.7923627248,0
58,81919.65926607382,0
59,82326.0832397576,0
60,82511.34255964273,0
61,86130.066114629,0
62,86419.78537374287,0
63,88408.3820280987,0
64,92395.26390483855,0
65,94001.46586516949,0
66,96152.07768045319,0
67,97551.33288609574,0
68,98015.95444254593,0
