Person,Timestamp,Queuelength
1,116.8982495471688,0
2,1399.4749147599287,0
3,3694.9260880703205,1
4,3726.4314500117275,0
5,4498.219674791172,0
6,4700.803127229342,1
7,4761.116684002882,0
8,7008.474796362586,0
9,7123.99868652248,0
10,8511.511678261331,0
11,8741.693118121959,0
12,9542.060669982753,0
13,10925.986002025662,0
14,11295.1467342004,0
15,11609.36011801578,0
16,12273.368091776969,0
17,12892.33172604898,0
18,14800.53538389504,0
19,16145.057262723285,0
20,17951.750045749453,0
21,18433.681784322056,0
22,19739.524762733716,0
23,20686.29864349978,0
24,21515.99012931104,0
25,22602.42967500802,0
26,23122.648117273136,1
27,23224.616483317328,0
28,23930.678197723046,0
29,24640.75584448569,0
30,28236.93290919908,0
31,29536.167018842643,0
32,29913.162170717853,0
33,31187.392555176066,0
34,32535.51299742729,0
35,34636.0291177345,0
36,35515.20903928326,0
37,36835.14296880904,0
38,39738.19920938642,0
39,41037.68329017849,0
40,41511.8398398761,0
41,41902.50499785452,0
42,43232.5299525415,0
43,43416.663153502705,0
44,43876.2407113003,0
45,44345.55273605859,0
46,45166.106986489925,0
47,45712.38301672697,0
48,46484.41039575926,0
49,47833.085620207086,0
50,48725.403376032875,0
51,48860.20358578523,0
52,49602.39074581809,0
53,50649.168397578826,0
54,52032.953962097396,1
55,52250.501220350154,0
56,52694.047647601416,0
57,56139.9155864797,0
58,56780.27279598928,0
59,57635.13465415668,0
60,58811.59951145706,0
61,59924.130078027054,0
62,61367.86037041833,0
63,62862.083450088554,0
64,64831.46567743932,1
65,64842.60892381471,0
66,64895.46722040998,0
67,65461.72565584619,0
68,67092.89205468712,0
69,68223.05337766989,0
70,68273.77017354676,0
71,68367.41446035383,0
72,69151.08655616113,0
73,69503.96008641076,0
74,70497.16840107726,0
75,72571.51634582432,1
76,72756.32376696168,1
77,72764.10258359848,0
78,73835.15486034361,0
79,75178.58191298594,0
80,75215.99350903642,0
81,75871.25618537962,0
82,76789.89173226221,0
83,78337.4772354216,0
84,79169.434655857,0
85,81704.16882372531,0
86,83132.67917269781,0
87,83331.52393559075,1
88,83342.26167214735,0
89,84155.17229643725,0
90,86046.2650633874,0
91,86196.8136375316,0
92,86651.17235990542,0
93,86805.55891206094,0
94,87535.69482000517,0
95,88095.81845742423,0
96,88824.82827116223,0
97,93143.82300352326,0
98,94932.3748162373,0
99,94989.07993575971,0
100,95063.30053488188,0
101,95550.220003383,0
102,96501.92666758335,0
103,96516.96195145194,0
104,98258.2495078043,1
105,98349.88045215145,0
106,99207.40872975599,0
107,99917.23239591316,0
