x,y
0,0
0,1
0,0
22.77524567800164589925770997069776058197021484375,1
23.8177863664630515838638302739127539098262786865234375,2
29.3309585204296998650619343607104383409023284912109375,3
39.0414847240799429695101707693538628518581390380859375,4
77.992099419665777304544462822377681732177734375,4
77.992099419665777304544462822377681732177734375,3
84.4537848675678191057158983312547206878662109375,3
84.4537848675678191057158983312547206878662109375,2
96.80482760544391140911102411337196826934814453125,2
96.80482760544391140911102411337196826934814453125,1
111.6922738423946339647585546117625199258327484130859375,2
132.52385333257367250325842178426682949066162109375,2
132.52385333257367250325842178426682949066162109375,1
148.4952349366811217290518243316910229623317718505859375,2
345.04826308000462375957795302383601665496826171875,2
345.04826308000462375957795302383601665496826171875,1
392.85915890501942016044267802499234676361083984375,1
392.85915890501942016044267802499234676361083984375,0
395.9871497164322631245880756978294812142848968505859375,1
433.1486476199773603124043575007817707955837249755859375,2
441.3012280258763888607376202344312332570552825927734375,3
463.40108818471046703280080691911280155181884765625,3
463.40108818471046703280080691911280155181884765625,2
477.9084207267390220774672116021974943578243255615234375,3
500.8225206804189448828168451655074022710323333740234375,4
522.1430273091953340180992881869315169751644134521484375,5
536.9933778836455002814176395986578427255153656005859375,6
659.9441856559836379059191813212237320840358734130859375,7
683.1081419030440817774518791338778100907802581787109375,8
713.2034990649784267358057832097983919084072113037109375,9
835.87124238725116498471834347583353519439697265625,9
835.87124238725116498471834347583353519439697265625,8
872.52187330199460291169089032337069511413574218750,8
872.52187330199460291169089032337069511413574218750,7
874.2061102272479720109998879706836305558681488037109375,8
899.22864399358154940955500933341681957244873046875,8
899.22864399358154940955500933341681957244873046875,7
928.6401378952860914406386427799589000642299652099609375,8
946.4722643266167023679003023062250576913356781005859375,9
950.04340679967799587757326662540435791015625000000,9
950.04340679967799587757326662540435791015625000000,8
964.0632232037369353516709225004888139665126800537109375,9
992.8269945062162802340566258862963877618312835693359375,10
1128.72670310144809491248452104628086090087890625000,10
1128.72670310144809491248452104628086090087890625000,9
1147.3826412740743163620749101028195582330226898193359375,10
1160.6572601712842158772076572859077714383602142333984375,11
1452.35375398815739345081965439021587371826171875000,11
1452.35375398815739345081965439021587371826171875000,10
1470.1222742710829523016258235657005570828914642333984375,11
1476.1574635125957219994319302713847719132900238037109375,12
1589.6580964299321967470035588121390901505947113037109375,13
1597.52539307090410147793591022491455078125000000000,13
1597.52539307090410147793591022491455078125000000000,12
1672.49302228485512955558078829199075698852539062500,12
1672.49302228485512955558078829199075698852539062500,11
1743.06878506288971664162090746685862541198730468750,11
1743.06878506288971664162090746685862541198730468750,10
1789.98999213720404810601394274272024631500244140625,10
1789.98999213720404810601394274272024631500244140625,9
1836.43574462800117430560931097716093063354492187500,9
1836.43574462800117430560931097716093063354492187500,8
1866.13965341424372468281944748014211654663085937500,8
1866.13965341424372468281944748014211654663085937500,7
1892.0076939851238184697734823203063569962978363037109375,8
1917.4234893336188496615335452588624320924282073974609375,9
1946.93861174459703988759429194033145904541015625000,9
1946.93861174459703988759429194033145904541015625000,8
1975.8107565745213241026334571870393119752407073974609375,9
2023.6773128569548878541439762557274661958217620849609375,10
2075.20901344684924083594523835927248001098632812500,10
2075.20901344684924083594523835927248001098632812500,9
2123.4566750705367359497444113003439269959926605224609375,10
2153.5557407866571748566997257512412033975124359130859375,11
2167.2351777570811302009445853400393389165401458740234375,12
2213.68347767225202460394939407706260681152343750000,12
2213.68347767225202460394939407706260681152343750000,11
2302.33221800937312195856065955013036727905273437500,11
2302.33221800937312195856065955013036727905273437500,10
2330.5817699439318866350134840104146860539913177490234375,11
2363.9740527836706698305846430230303667485713958740234375,12
2394.35711191900506378260615747421979904174804687500,12
2394.35711191900506378260615747421979904174804687500,11
2412.5705620102131001569745194501592777669429779052734375,12
2454.59604215383065906053161597810685634613037109375,12
2454.59604215383065906053161597810685634613037109375,11
2456.1614392788199661143977436950081028044223785400390625,11
2456.1614392788199661143977436950081028044223785400390625,10
2596.8791078450275160438565080767148174345493316650390625,10
2596.8791078450275160438565080767148174345493316650390625,9
2704.6202795552475686147175792939378879964351654052734375,10
2707.1837809408299870828074062956147827208042144775390625,10
2707.1837809408299870828074062956147827208042144775390625,9
2801.5550790973373376235855403137975372374057769775390625,9
2801.5550790973373376235855403137975372374057769775390625,8
2822.2383562265396841350906242951168678700923919677734375,9
2887.5592221058959518931175125544541515409946441650390625,9
