id,velocity
923,1.5637960835145572335846964051597751677036285400390625
1583,1.4414128199560403142953646238311193883419036865234375
153,1.5117149086196055574049523784196935594081878662109375
1589,1.499579966396076269319337370689027011394500732421875
2074,1.4438130506265312025249158978112973272800445556640625
1270,1.591678292899501911961124278604984283447265625
1284,1.499605001349294752799323759973049163818359375
1118,1.5410204871295538620046272626495920121669769287109375
2053,1.436853132714746461573440683423541486263275146484375
2157,1.617445526114300147213498348719440400600433349609375
2296,1.4137779878725058591015795173007063567638397216796875
275,1.461718345457982071167180038173682987689971923828125
647,1.431213354984058216956555042997933924198150634765625
1146,1.454954469026492613892287408816628158092498779296875
1650,1.3669595987751750332250821884372271597385406494140625
1873,1.445545312937273507714053266681730747222900390625
85,1.420120610162866281456217620871029794216156005859375
880,1.330693154958410229227183663169853389263153076171875
2596,1.1984014843502241998152157975709997117519378662109375
1150,1.3754790526619746771075369906611740589141845703125
2319,1.5278692657998467208102510994649492204189300537109375
2540,1.64599069199931147267079722951166331768035888671875
464,1.4289283517702646708613656301167793571949005126953125
2334,1.440983354285044537590465552057139575481414794921875
588,1.534627125352245879952306495397351682186126708984375
1175,1.3719401151287258233679722252418287098407745361328125
1783,1.59673520025523796306288204505108296871185302734375
273,1.67330403365270274917975257267244160175323486328125
1300,1.4656368790086300446517952877911739051342010498046875
1676,1.2747183100571268798972823788062669336795806884765625
1929,1.3852956459279746059820581649546511471271514892578125
1111,1.4648808279431688728067229021689854562282562255859375
2600,1.74866973317095020235001356923021376132965087890625
105,1.5068141198519000578670556933502666652202606201171875
993,1.325777365827801812514508128515444695949554443359375
1060,1.51253993435251299359833865310065448284149169921875
1717,1.5214129011416250847332776174880564212799072265625
1210,1.6263603373453321410124772228300571441650390625
850,1.4128188479674272937103296499117277562618255615234375
754,1.275960522909369121435929628205485641956329345703125
94,1.507027012951060118695068013039417564868927001953125
1684,1.6933820120587015356505844465573318302631378173828125
253,1.3889458628173876331146630036528222262859344482421875
1287,1.6291553758914414373748513753525912761688232421875
1302,1.3608023567677154375132886343635618686676025390625
382,1.453310825330243805098007214837707579135894775390625
522,1.56658505163974037799334837472997605800628662109375
1596,1.592306297475043042055631303810514509677886962890625
485,1.5057517877864388111674998071976006031036376953125
2412,1.20506431896827859162613094667904078960418701171875
2406,1.509055594702528591000145752332173287868499755859375
635,1.573271459207738143248889173264615237712860107421875
311,1.5985799767555179951017407802282832562923431396484375
216,1.3860800626270626256797413589083589613437652587890625
1171,1.4773020888219889901193937475909478962421417236328125
1912,1.4428391527428299223601015910389833152294158935546875
226,1.5427029387544950456145897987880744040012359619140625
