density,velocity
6.247645951035782019289399613626301288604736328125,0.00026374460755764997136453457520
6.21468926553672407209205630351789295673370361328125,0.03704287625574238732652027774266
6.18055555555555624636099310009740293025970458984375,0.08532733332062184058473796721038
6.1487758945386072895189499831758439540863037109375,0.12168493758931343205967308186288
6.11111111111111160454356650006957352161407470703125,0.16413851745165240886252179695646
6.0781544256120536573462231899611651897430419921875,0.19350994104170102152118178167011
6.04048964218455797237083970685489475727081298828125,0.23922740153674486908627357298351
6.01106403013182699623939697630703449249267578125,0.27501643018754855976066597185634
5.97693032015066005868675347301177680492401123046875,0.31674761713790394225973563864005
5.94161958568738324260039007640443742275238037109375,0.33583650643363766066313380636570
5.90866290018832440722462706617079675197601318359375,0.37342344137473447883662796908207
5.87452919020715658149356386275030672550201416015625,0.41243822566964499056075513348240
5.8415725047080986342962205526418983936309814453125,0.42391683088299610042215037830015
5.8062617702448218182098571560345590114593505859375,0.47737828008096308400520993553245
5.76624293785310815252387328655458986759185791015625,0.50000586896752901787461001706368
5.736817325800377176392430556006729602813720703125,0.53084716315732025581876997780048
5.70503766478342821955038743908517062664031982421875,0.56525292038088040656185359386353
5.6756120527306972434189447085373103618621826171875,0.58575716406430337603184406703435
5.64265536723163929622160139842890202999114990234375,0.61624342817412162780450631972324
5.60028248587570676164659744245000183582305908203125,0.63700976218772025035464994724193
5.5696798493408667951598545187152922153472900390625,0.68919408720881236159414922179991
5.5426082862523546879174318746663630008697509765625,0.70606934223883131508268098253807
5.50494350282485900294204839156009256839752197265625,0.72812492833787695818673271819009
5.46963276836158218685568499495275318622589111328125,0.74708041755898092604896190425630
5.437853107344633230013641878031194210052490234375,0.77949591995461623407425915590641
5.402542372881356413927278481423854827880859375,0.76789125362322314516509502998398
5.367231638418079597840915084816515445709228515625,0.80859098544117384085464356235695
5.33192090395480278175455168820917606353759765625,0.80945989350950450992301268677244
5.30955743879472752411174951703287661075592041015625,0.83947979353193789014935552904823
5.2707156308851228487810658407397568225860595703125,0.86721879271849650351056964509404
5.242467043314501751183343003503978252410888671875,0.87469314747867085212772430617141
5.2106873822975519061628801864571869373321533203125,0.89867710303753523799355865755998
5.1647834274952924005219756509177386760711669921875,0.93821871570841274373479822835172
5.12711864406779671554659216781146824359893798828125,0.94807758885832785204611326823704
5.09887005649717561794886933057568967342376708984375,0.98305028778609511135936614407468
5.06355932203389880186250593396835029125213623046875,0.98041375334144832751361477442433
5.02000941619585727693220178480260074138641357421875,0.99518059675025688650870233365808
5.00000000000000088817841970012523233890533447265625,1.01059127245816169002400380386616
4.9611581920903962128477360238321125507354736328125,1.01939248091578814550489917544027
4.92231638418079153751705234753899276256561279296875,1.04612463192235021476936049438385
4.88935969868173270214128933730535209178924560546875,1.04901907226687579066121649433555
4.87052730696798530374280744581483304500579833984375,1.06526585958985806132263649826908
4.837570621468927356545464135706424713134765625,1.08829439840031219326410811680126
4.80108286252354066192538084578700363636016845703125,1.10505593424156901458725319638358
4.75517890772128115628447631024755537509918212890625,1.13708348064775205344650492481791
4.72810734463276904904205366619862616062164306640625,1.12578484822027221175596719389552
4.68455743879472752411174951703287661075592041015625,1.15757268348266134652229969151225
4.66690207156308911606856781872920691967010498046875,1.15250647859348942406216965679227
4.6374764595103581399371250881813466548919677734375,1.16835229572831345080641101396306
4.59274952919020762465152074582874774932861328125,1.17514038867174739876463035755249
4.55508474576271193967613726272247731685638427734375,1.19054164309718997401929140365875
4.53507532956685555092235517804510891437530517578125,1.20900927823119873694517441938632
4.50918079096045243403523272718302905559539794921875,1.22670560319273893885862083135793
4.459745762711865069150007911957800388336181640625,1.22243884232268642672890253283612
4.4338512241054619522628854610957205295562744140625,1.23312095332557926047223706398205
4.3903013182674204273325813119299709796905517578125,1.24906993007580539903531787229287
4.35028248587570676164659744245000183582305908203125,1.27201813440944382826251908671203
4.32674199623352251364849507808685302734375,1.27598644837937510720621349449762
4.28201506591337111018447103560902178287506103515625,1.28386729067083817652485127559765
4.258474576271186862186368671245872974395751953125,1.30272545788549977423479806287198
4.22787193973634689569962574751116335391998291015625,1.30494237974595376877248651388545
4.198446327683615919568183016963303089141845703125,1.30367336938649428251510214783231
4.15842749529190225388219914748333394527435302734375,1.31449118182298520310236396242085
4.12311676082862543779583575087599456310272216796875,1.30686988673907165299478685285393
4.09486817325800434019811291364021599292755126953125,1.33321570141475340469460810658091
4.05955743879472752411174951703287661075592041015625,1.35184293477245225209009093142121
4.0207156308851228487810658407397568225860595703125,1.34030913743343304377453267903167
3.987758945386064457494512680568732321262359619140625,1.34459178518413561174079921466014
3.957156308851224491007769756834022700786590576171875,1.35457861464773808441154940685662
3.926553672316384524521026833099313080310821533203125,1.36005175258571789001558275189292
3.88418079096045243403523272718302905559539794921875,1.36745535770626021592013169475946
3.851224105461394042748679567012004554271697998046875,1.37364333938031616775331670752017
3.81355932203389880186250593396835029125213623046875,1.37778567651261930014798823566670
3.7829566854990588353757630102336406707763671875,1.38994297504230380749366665706376
3.745291902071563594489589377189986407756805419921875,1.39085742230983870457292976051239
3.706450094161958919158905700896866619586944580078125,1.40022587586247828029955793847849
3.68290960451977422707159348647110164165496826171875,1.39521439076118389776240832655514
3.64171374764595157103030942380428314208984375,1.40356742380052040174509677045161
3.618173258003766878942997209378518164157867431640625,1.41317512918132124742502310053148
3.5805084745762716380568235763348639011383056640625,1.41073865357394368675351092940098
3.548728813559322237125570609350688755512237548828125,1.41377323266025877632554948976716
3.51577212806026384583901744917966425418853759765625,1.42751566403506478304288818680580
