time,size,room
12286.5313964288561212612194140092469751834869384765625,1,1
12286.5313964288561212612194140092469751834869384765625,0,1
12344.0018851049228647553945847903378307819366455078125,0,0
12695.2616914416470397242164835915900766849517822265625,1,1
12695.2616914416470397242164835915900766849517822265625,0,1
12700.3896288637199258886312236427329480648040771484375,0,0
12730.3830206113719913929571703192777931690216064453125,1,1
12730.3830206113719913929571703192777931690216064453125,0,1
12870.5001884335730739650216492009349167346954345703125,0,0
12968.1055937118768799365398081135936081409454345703125,1,1
12968.1055937118768799365398081135936081409454345703125,0,1
13163.6238035048060641685196969774551689624786376953125,0,0
14259.4450703816627612496859001112170517444610595703125,1,1
14259.4450703816627612496859001112170517444610595703125,0,1
14449.0567458465071428719284085673280060291290283203125,0,0
15355.2856785654727520551432462525554001331329345703125,1,1
15355.2856785654727520551432462525554001331329345703125,0,1
15496.1092380763783484809437140938825905323028564453125,0,0
15636.5129229974665197033800723147578537464141845703125,1,1
15636.5129229974665197033800723147578537464141845703125,0,1
15859.4047447770386458643088190001435577869415283203125,1,2
15947.6017242317982169907963907462544739246368408203125,1,1
15947.6017242317982169907963907462544739246368408203125,0,1
15955.6106295026112320556421764194965362548828125000000,0,0
16072.5681938912982236189463947084732353687286376953125,1,1
16072.5681938912982236189463947084732353687286376953125,0,1
16222.5380595801339342898472750675864517688751220703125,0,0
16284.4975535521292062668408107128925621509552001953125,1,1
16284.4975535521292062668408107128925621509552001953125,0,1
16399.9021884218660023435631956090219318866729736328125,0,0
16530.5874627762777908657199077424593269824981689453125,1,1
16530.5874627762777908657199077424593269824981689453125,0,1
16617.2799124501403742470984070678241550922393798828125,0,0
17228.6671367145339690551963940379209816455841064453125,1,1
17228.6671367145339690551963940379209816455841064453125,0,1
17287.9888900748543978380666885641403496265411376953125,0,0
18146.2983527837428727735868960735388100147247314453125,1,1
18146.2983527837428727735868960735388100147247314453125,0,1
18189.0721198619305827293146649026311933994293212890625,0,0
18291.7760288413548739328007286530919373035430908203125,1,1
18291.7760288413548739328007286530919373035430908203125,0,1
18389.5865561684112083895570322056300938129425048828125,0,0
19150.9173112495292077284148035687394440174102783203125,1,1
19150.9173112495292077284148035687394440174102783203125,0,1
19164.7363851293297773992208021809346973896026611328125,0,0
19470.0316172685396924890710579347796738147735595703125,1,1
19470.0316172685396924890710579347796738147735595703125,0,1
19591.4465815712660532454947315272875130176544189453125,0,0
22187.9924702885722656020561771583743393421173095703125,1,1
22187.9924702885722656020561771583743393421173095703125,0,1
22253.4891580363994041391606515389867126941680908203125,0,0
