time,event,queueSize,systemSize,meanQueueSize,meanSystemSize,meanWaitingTime,meanCallingTime,meanSystemTime,LittlesLaw
6479.4764805650884316179372035549022257328033447265625,finish,0,1,0.0359278803,0.3216291619,12.9329919811,105.9946407173,115.7771438978,0.19562640749560000000
7225.4848249185340680611489005968905985355377197265625,arrive,0,0,0.0322184409,0.2884219731,12.9329919811,102.8441519166,115.7771438978,0.19933584689560000000
7225.4848249185340680611489005968905985355377197265625,begin,1,1,0.0322184409,0.2884219731,12.9329919811,102.8441519166,115.7771438978,0.19933584689560000000
7275.1766110808075982419040883542038500308990478515625,finish,0,1,0.0319983786,0.2932822790,12.2523081927,102.8441519166,112.2989671748,0.19259955574960000000
7812.1842758778995037260983735905028879642486572265625,arrive,0,0,0.0297988178,0.2731221258,12.2523081927,100.0466589822,112.2989671748,0.19479911654960000000
7812.1842758778995037260983735905028879642486572265625,begin,1,1,0.0297988178,0.2731221258,12.2523081927,100.0466589822,112.2989671748,0.19479911654960000000
7960.7251821979084613900568001554347574710845947265625,finish,0,1,0.0292427951,0.2866850985,11.6396927830,100.0466589822,114.1110641321,0.19897933316420000000
8749.9550802058759106927254833863116800785064697265625,arrive,0,0,0.0266051487,0.2608266284,11.6396927830,102.4713713491,114.1110641321,0.20161697956420000000
8749.9550802058759106927254833863116800785064697265625,begin,1,1,0.0266051487,0.2608266284,11.6396927830,102.4713713491,114.1110641321,0.20161697956420000000
8773.6948888490674303142213830142281949520111083984375,finish,0,1,0.0265331606,0.2628266791,11.0854216981,102.4713713491,109.8076710136,0.19308218142720000000
9290.2137077620872194216872230754233896732330322265625,arrive,0,0,0.0250579656,0.2482139985,11.0854216981,98.7222493155,109.8076710136,0.19455737642720000000
9290.2137077620872194216872230754233896732330322265625,begin,1,1,0.0250579656,0.2482139985,11.0854216981,98.7222493155,109.8076710136,0.19455737642720000000
9377.4949486312080271233071471215225756168365478515625,finish,0,1,0.0248247380,0.2552112633,10.5815388937,98.7222493155,108.7837423706,0.19274274674120000000
9466.7481682825594848651462598354555666446685791015625,arrive,0,0,0.0245906885,0.2528051121,10.5815388937,98.2022034770,108.7837423706,0.19297679624120000000
9466.7481682825594848651462598354555666446685791015625,begin,1,1,0.0245906885,0.2528051121,10.5815388937,98.2022034770,108.7837423706,0.19297679624120000000
9524.7287041174532919995954216574318706989288330078125,finish,0,1,0.0244409959,0.2573535629,10.1214719852,98.2022034770,106.5749073039,0.18870881870780000000
9615.2431018934877418047335595474578440189361572265625,arrive,0,0,0.0242109173,0.2549309302,10.1214719852,96.4534353186,106.5749073039,0.18893889730780000000
9615.2431018934877418047335595474578440189361572265625,begin,1,1,0.0242109173,0.2549309302,10.1214719852,96.4534353186,106.5749073039,0.18893889730780000000
9641.2341974086776570374013317632488906383514404296875,finish,0,1,0.0241456489,0.2569395072,9.6997439859,96.4534353186,103.2172484793,0.18228884805860000000
