id,resident,time
1,false,0
2,false,1684.401793295681500239879824221134185791015625
3,false,1791.5104584353637591220831382088363170623779296875
4,false,1865.3496660063432130982619128189980983734130859375
5,true,2159.4548579269700070426551974378526210784912109375
6,false,2799.8599341470290795541586703620851039886474609375
7,false,3719.3482303150553747173034935258328914642333984375
8,false,4091.7179518470241390559749561361968517303466796875
9,false,4106.7177427433957230817895833752118051052093505859375
10,false,4844.233702289572025989627945818938314914703369140625
11,false,4955.567925614226641783943705377168953418731689453125
12,false,4958.011786675707112781452678973437286913394927978515625
13,false,5081.751441694794236614285409814328886568546295166015625
14,false,5354.505115260086771655778647982515394687652587890625
15,false,5450.780594371967968214676147908903658390045166015625
16,false,5898.5689879578034808815800715819932520389556884765625
17,false,6282.3170457129718418087804820970632135868072509765625
18,true,6430.1906382599675087163859643624164164066314697265625
19,true,7225.4848249185340680611489005968905985355377197265625
20,false,7812.1842758778995037260983735905028879642486572265625
21,false,8749.9550802058759106927254833863116800785064697265625
22,true,9290.2137077620872194216872230754233896732330322265625
23,false,9466.7481682825594848651462598354555666446685791015625
24,false,9615.2431018934877418047335595474578440189361572265625
25,false,10995.5821240315509701446217150078155100345611572265625
26,false,11614.3299895688087506329111420200206339359283447265625
27,true,12163.2144234176462394003692679689265787601470947265625
28,false,12286.5313964288561212612194140092469751834869384765625
29,false,12695.2616914416470397242164835915900766849517822265625
30,false,12730.3830206113719913929571703192777931690216064453125
31,false,12968.1055937118768799365398081135936081409454345703125
32,false,14259.4450703816627612496859001112170517444610595703125
33,false,15355.2856785654727520551432462525554001331329345703125
34,false,15636.5129229974665197033800723147578537464141845703125
35,false,15947.6017242317982169907963907462544739246368408203125
36,false,16072.5681938912982236189463947084732353687286376953125
37,false,16284.4975535521292062668408107128925621509552001953125
38,false,16530.5874627762777908657199077424593269824981689453125
39,true,17228.6671367145339690551963940379209816455841064453125
40,false,18146.2983527837428727735868960735388100147247314453125
41,true,18291.7760288413548739328007286530919373035430908203125
42,false,19150.9173112495292077284148035687394440174102783203125
43,false,19470.0316172685396924890710579347796738147735595703125
44,false,22187.9924702885722656020561771583743393421173095703125
