time,size,room
0,1,1
0,0,1
21.9954181229217482496096636168658733367919921875,1,2
106.3173331967646078055622638203203678131103515625,2,3
170.80272084830897938445559702813625335693359375,2,2
170.80272084830897938445559702813625335693359375,1,2
213.9071620050944630975209292955696582794189453125,1,1
213.9071620050944630975209292955696582794189453125,0,1
219.2565758581031758467361214570701122283935546875,1,2
230.7111086825190167104437932721339166164398193359375,2,3
266.2238183267285247524114311090670526027679443359375,3,4
395.7690541086954620908500146470032632350921630859375,4,5
450.2113270256109700540037010796368122100830078125,4,4
450.2113270256109700540037010796368122100830078125,3,4
495.1605883707254829317889743833802640438079833984375,4,5
560.4287258378734861707926029339432716369628906250,4,4
560.4287258378734861707926029339432716369628906250,3,4
595.24964385156578572377839009277522563934326171875,3,3
595.24964385156578572377839009277522563934326171875,2,3
616.4027586697360217016239403164945542812347412109375,3,4
702.40168732275107998930252506397664546966552734375,3,3
702.40168732275107998930252506397664546966552734375,2,3
736.4345618221452607343735508038662374019622802734375,3,4
743.31631961371071781741193262860178947448730468750,3,3
743.31631961371071781741193262860178947448730468750,2,3
743.66044100334471622648635502628167159855365753173828125,2,2
743.66044100334471622648635502628167159855365753173828125,1,2
776.4133449608447232748176247696392238140106201171875,2,3
798.4172251481143174345334045938216149806976318359375,3,4
819.07681537176598951521810931808431632816791534423828125,3,3
819.07681537176598951521810931808431632816791534423828125,2,3
950.49297491308924279440617510772426612675189971923828125,2,2
950.49297491308924279440617510772426612675189971923828125,1,2
1162.02162842883110827063575243300874717533588409423828125,1,1
1162.02162842883110827063575243300874717533588409423828125,0,1
1176.7208066070251160084580988041125237941741943359375,1,2
1205.90877035134572381469553192800958640873432159423828125,1,1
1205.90877035134572381469553192800958640873432159423828125,0,1
1251.5116773790627515694495741627179086208343505859375,1,2
1279.87658426403081179945075973591883666813373565673828125,1,1
1279.87658426403081179945075973591883666813373565673828125,0,1
1324.28003012321523457206495777427335269749164581298828125,0,0
1385.2707644783074041328063685796223580837249755859375,1,1
1385.2707644783074041328063685796223580837249755859375,0,1
1476.1516838848377002335610086447559297084808349609375,1,2
1487.3162480000063307983282356872223317623138427734375,1,1
1487.3162480000063307983282356872223317623138427734375,0,1
1488.7053888950164608484527661858010105788707733154296875,0,0
1510.6031407619856405943892241339199244976043701171875,1,1
1510.6031407619856405943892241339199244976043701171875,0,1
1533.1819482354772308241308564902283251285552978515625,0,0
1809.8645187785783274847517532180063426494598388671875,1,1
1809.8645187785783274847517532180063426494598388671875,0,1
1813.7631022713419675085333437891677021980285644531250,1,2
1834.7956402134917937019054079428315162658691406250000,2,3
1898.4044666680324837670923443511128425598144531250000,3,4
1984.5895406976875801063897597487084567546844482421875,3,3
1984.5895406976875801063897597487084567546844482421875,2,3
2041.4270154389438403086387552320957183837890625000000,3,4
2050.8094173251356302500880701700225472450256347656250,4,5
2099.9779464482876090158924853312782943248748779296875,4,4
2099.9779464482876090158924853312782943248748779296875,3,4
2307.4790952966528703171888992073945701122283935546875,3,3
2307.4790952966528703171888992073945701122283935546875,2,3
2333.8599160824635738720189692685380578041076660156250,3,4
2368.9060814160346204459983709966763854026794433593750,4,5
2426.7562741231101011152304636198095977306365966796875,4,4
2426.7562741231101011152304636198095977306365966796875,3,4
2437.1583415677884936201280652312561869621276855468750,4,5
2457.1230786522518219072708234307356178760528564453125,4,4
2457.1230786522518219072708234307356178760528564453125,3,4
2465.0383377039128234287090890575200319290161132812500,4,5
2485.0142647094702752497141773346811532974243164062500,5,6
2561.2600580551892264224989048670977354049682617187500,6,7
2593.0196257026896677899685528245754539966583251953125,6,6
2593.0196257026896677899685528245754539966583251953125,5,6
2635.8863208426623785385345399845391511917114257812500,6,7
2640.3039592882412396335212179110385477542877197265625,6,6
2640.3039592882412396335212179110385477542877197265625,5,6
2656.7287937474371446455734258051961660385131835937500,6,7
2689.7671282406237143192129224189557135105133056640625,6,6
